song names
"ease your mind,4VA9yqBTQjjAZL4fQhlK9M,joan,3HXLY1sNXIxHfulrjPiRf5"
"want u back,3QFsiX0c8IXCNiJ5YLYYSU,joan,3HXLY1sNXIxHfulrjPiRf5"
"Better,1dLXLETYiZohIZWnse4ypG,ZAYN,5ZsFI1h6hIdQRw2ti0hz81"
"More Of My Life,2bS9K5e7yfggeBtDaJ4x9C,BLAEKER,5fhygBJA9FbMPEl24DZdum"
"Day 1 ◑,6ZzYETKetIfNUsZUb23jgG,HONNE,0Vw76uk7P8yVtTClWyOhac"
"drunk,3KkVd7Xg0jCAZSOatzQ6Td,keshi,3pc0bOVB5whxmD50W79wwO"
"Waves,6dH6NIftdswHruAjD80ZHB,Fiji Blue,1e7K8jD3wRuQfnwDAOeGqe"
"Missed Calls (feat. Hayley Kiyoko),6oA8PHOXuwrYGYbxmlIw4I,MAX,1bqxdqvUtPWZri43cKHac8"
"Acid Dreams,6bva51NZPKdC8KmWxVAaHz,MAX,1bqxdqvUtPWZri43cKHac8"
"Blueberry Eyes (feat. SUGA of BTS),5dn6QANKbf76pANGjMBida,MAX,1bqxdqvUtPWZri43cKHac8"
"as long as you care,0GQqQ7dA7B4mcEktSZaOUp,Ruel,5xkAtLTf309LAGZTbvULBn"
"Scream Drive Faster,4CBfY6tYGrm6o5wluoPKaT,LAUREL,6y6iXD929Jqq0xc6lgwhl1"
"magnetic,6CIV3eixAaJoCxOb0YSI94,joan,3HXLY1sNXIxHfulrjPiRf5"
"I Wish I Never Met You,4P6Y4uhdy4Z9W9WUdCjt8l,Oh Wonder,5cIc3SBFuBLVxJz58W2tU9"
"Washout,4aaEV6V9aOQb2oQzWlf9cu,GOLDHOUSE,670UISOh9XV1zlq5z5IfoY"
"Over Now (with The Weeknd),58AGoOGbwsQMhBbH0eFLRR,Calvin Harris,7CajNmpbOovFoOoasH2HaY"
"Just Friends,02Ygu8lo3qSknRpcBnspso,Virginia To Vegas,3v9wPA58IVrX2dg6AjSPgi"
"what are we,0wQHW19erIe8wYDqjQtvic,Virginia To Vegas,3v9wPA58IVrX2dg6AjSPgi"
"Sandals,08mbmCSc6wEUNlMvi0Ukzu,khai dreams,0lawSNBxNgJFQYJnQzLH8c"
